north_count,south_count,east_count,west_count,north_wait,south_wait,east_wait,west_wait,north_density,south_density,east_density,west_density,emergency_active,peak_factor,target_phase,target_timing_north,target_timing_south,target_timing_east,target_timing_west,target_risk,scenario
63,44,15,12,80.57,40.69,13.87,10.16,63.0,44.0,15.0,12.0,0.0,0.96,0,53.97,30.67,18.1,17.26,1,morning_rush
12,7,56,82,18.91,10.26,54.31,77.53,12.0,7.0,56.0,82.0,0.0,0.76,3,17.15,16.02,34.07,52.76,2,evening_rush
56,73,21,15,72.21,66.55,21.71,16.4,56.0,73.0,21.0,15.0,0.0,0.84,1,39.15,44.33,18.99,17.53,1,morning_rush
7,16,89,81,8.92,13.39,114.46,75.85,7.0,16.0,89.0,81.0,0.0,0.72,2,15.6,16.52,50.8,37.08,2,evening_rush
33,28,45,21,125.27,98.42,63.42,104.47,33.0,28.0,45.0,21.0,0.0,0.6,0,35.52,28.73,29.84,25.91,1,storm
15,18,5,19,17.24,9.17,13.96,14.57,15.0,18.0,5.0,19.0,0.0,0.16,3,23.55,23.46,17.64,25.18,0,balanced
35,43,19,45,27.94,37.66,12.65,15.88,35.0,43.0,19.0,45.0,1.0,0.5,1,15.0,60.0,15.0,15.0,2,emergency
9,22,17,14,8.24,21.06,10.21,8.46,9.0,22.0,17.0,14.0,0.0,0.26,1,19.26,29.08,23.44,21.66,0,balanced
16,14,2,8,11.74,11.08,8.75,2.32,16.0,14.0,2.0,8.0,0.0,0.16,0,23.82,22.6,16.03,18.52,0,balanced
7,5,93,34,10.79,6.6,142.47,50.32,7.0,5.0,93.0,34.0,0.0,0.83,2,15.69,15.44,60.0,22.28,2,evening_rush
24,24,6,4,15.6,8.32,14.91,10.81,24.0,24.0,6.0,4.0,0.0,0.39,0,29.51,27.17,18.57,17.16,0,balanced
64,85,73,86,97.5,87.03,42.8,51.87,64.0,85.0,73.0,86.0,0.0,1.0,1,31.96,35.24,24.66,28.14,2,gridlock
8,18,21,5,22.87,7.73,11.44,19.38,8.0,18.0,21.0,5.0,0.0,0.17,2,20.27,23.34,25.65,18.05,0,balanced
20,23,3,11,20.59,16.57,22.04,20.48,20.0,23.0,3.0,11.0,0.0,0.16,1,25.83,26.38,16.68,20.95,0,balanced
70,87,84,92,69.93,111.25,40.06,78.78,70.0,87.0,84.0,92.0,0.0,1.0,1,26.65,37.31,24.03,32.01,2,gridlock
40,37,13,18,39.11,33.15,13.91,27.98,40.0,37.0,13.0,18.0,0.0,0.8,0,40.11,35.85,19.87,24.17,0,morning_rush
75,78,21,14,117.75,78.11,25.15,14.57,75.0,78.0,21.0,14.0,0.0,0.79,0,47.76,38.05,17.74,16.44,2,morning_rush
18,3,3,23,2.76,9.94,16.59,17.66,18.0,3.0,3.0,23.0,0.0,0.26,3,22.78,16.54,16.81,29.2,0,balanced
40,61,8,11,56.37,60.4,11.06,12.04,40.0,61.0,8.0,11.0,0.0,0.89,1,36.3,49.36,16.81,17.54,1,morning_rush
15,20,50,62,13.81,24.13,67.83,92.17,15.0,20.0,50.0,62.0,0.0,0.8,3,17.37,18.99,35.35,48.29,1,evening_rush
4,20,21,8,6.01,17.89,10.89,23.54,4.0,20.0,21.0,8.0,0.0,0.14,1,16.67,26.08,24.86,20.02,0,balanced
59,79,14,7,57.99,74.26,22.2,8.49,59.0,79.0,14.0,7.0,0.0,0.78,1,36.23,50.09,17.7,15.98,2,morning_rush
21,14,46,41,28.99,20.17,20.48,31.78,21.0,14.0,46.0,41.0,1.0,0.5,3,15.0,15.0,15.0,60.0,2,emergency
83,92,83,70,142.92,126.39,113.59,103.88,83.0,92.0,83.0,70.0,0.0,1.0,0,32.74,32.34,29.06,25.86,2,gridlock
59,64,22,18,73.1,86.63,29.07,17.63,59.0,64.0,22.0,18.0,0.0,0.91,1,38.3,44.47,19.41,17.83,1,morning_rush
22,17,21,9,21.53,17.13,15.07,4.15,22.0,17.0,21.0,9.0,0.0,0.21,0,28.12,24.18,25.82,18.56,0,balanced
15,7,7,14,13.2,22.84,11.99,10.05,15.0,7.0,7.0,14.0,0.0,0.29,0,23.07,19.69,18.66,21.98,0,balanced
5,9,94,77,5.12,7.38,123.74,72.51,5.0,9.0,94.0,77.0,0.0,0.98,2,15.37,15.71,54.45,34.47,2,evening_rush
